               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11162,            0.031232,            0.025228,           0.0016727,                 0.5,            0.001594,          0.00044047,            0.037031,             0.02142,           0.0087341,              0.0973,              0.0003,              0.0003
                   1,             0.11818,            0.029625,            0.025156,           0.0025069,                0.75,           0.0047217,            0.001536,            0.033002,             0.02005,           0.0084534,            0.093688,          0.00068845,          0.00068845
                   2,             0.10536,            0.032284,            0.023744,            0.002906,               0.875,           0.0069026,           0.0030759,            0.026518,            0.018728,            0.008075,            0.090064,           0.0010637,           0.0010637
                   3,            0.088932,            0.031632,            0.022008,           0.0033337,                   1,            0.016466,           0.0075644,            0.022157,            0.017198,           0.0076294,            0.086426,           0.0014257,           0.0014257
                   4,            0.087303,            0.033032,            0.020958,           0.0033334,                   1,            0.050785,             0.01712,             0.01976,            0.016296,           0.0072693,            0.082775,           0.0017746,           0.0017746
                   5,             0.07889,            0.033425,            0.019628,           0.0033378,                   1,             0.12605,            0.049389,             0.01876,            0.015151,           0.0068298,             0.07911,           0.0021103,           0.0021103
                   6,            0.080843,            0.032097,            0.017387,           0.0033369,                   1,              0.4142,             0.21507,            0.019003,            0.013758,           0.0062225,            0.075433,           0.0024327,           0.0024327
                   7,            0.074284,            0.031438,            0.014264,             0.29211,               0.875,             0.74885,             0.37768,            0.018399,            0.012718,           0.0055054,            0.071742,            0.002742,            0.002742
                   8,            0.074766,            0.028617,            0.017535,              0.7599,             0.60792,             0.77899,             0.38739,            0.018119,            0.012082,           0.0051544,            0.068038,            0.003038,            0.003038
                   9,            0.066385,            0.030199,            0.013874,             0.74807,             0.56655,             0.71143,             0.39023,            0.017539,            0.011333,            0.004425,            0.064321,           0.0033208,           0.0033208
                  10,            0.059638,            0.025935,            0.011282,             0.83529,             0.62326,             0.69022,             0.33846,            0.020967,            0.010745,           0.0037598,             0.06059,           0.0035905,           0.0035905
                  11,            0.069893,            0.023839,           0.0097935,             0.76804,                 0.5,             0.66167,             0.31512,             0.01991,            0.010604,           0.0030548,            0.056847,            0.003847,            0.003847
                  12,            0.064588,            0.021143,           0.0095225,             0.61128,               0.625,             0.59165,             0.30962,            0.018639,           0.0098872,           0.0024063,             0.05309,           0.0040902,           0.0040902
                  13,             0.06473,            0.022905,           0.0083239,             0.70804,              0.6242,             0.69879,             0.36781,            0.019372,           0.0092025,           0.0021881,             0.04932,           0.0043202,           0.0043202
                  14,            0.064531,            0.021329,           0.0070549,             0.40947,             0.82399,             0.68746,             0.35185,            0.017313,           0.0080369,            0.001857,            0.045537,           0.0045371,           0.0045371
                  15,            0.065018,            0.020219,           0.0075585,             0.35239,                   1,             0.59306,             0.27104,             0.02356,           0.0072637,           0.0017578,            0.041741,           0.0047408,           0.0047408
                  16,            0.065602,            0.020394,           0.0058587,              0.5563,             0.98176,             0.78806,             0.35588,            0.019928,           0.0067654,           0.0016113,            0.037931,           0.0049312,           0.0049312
                  17,             0.06478,              0.0194,           0.0065463,             0.36308,               0.875,             0.65472,              0.3415,            0.020296,            0.005863,           0.0013947,            0.034108,           0.0051084,           0.0051084
                  18,            0.065601,            0.019675,            0.007051,             0.57268,                   1,             0.84083,              0.3701,            0.016836,           0.0059631,           0.0012085,            0.030272,           0.0052725,           0.0052725
                  19,            0.055394,            0.017448,           0.0052324,             0.50664,             0.80028,             0.79254,             0.36551,            0.014565,           0.0064442,           0.0011101,            0.026423,           0.0054234,           0.0054234
                  20,            0.051358,            0.019527,           0.0050463,             0.45541,             0.71379,             0.44145,             0.21121,            0.024825,           0.0055845,          0.00083542,            0.022561,            0.005561,            0.005561
                  21,            0.076857,            0.016214,           0.0050112,             0.51643,             0.77591,             0.75221,             0.33944,            0.023375,           0.0051777,          0.00083847,            0.018685,           0.0056854,           0.0056854
                  22,            0.062868,            0.015198,           0.0050398,             0.56251,                   1,             0.80393,              0.4084,            0.019908,            0.005445,           0.0007164,            0.014797,           0.0057967,           0.0057967
                  23,            0.063193,            0.017063,            0.004391,             0.47352,               0.875,              0.7125,             0.38206,            0.025806,           0.0047798,           0.0007431,            0.010895,           0.0058948,           0.0058948
                  24,            0.066903,            0.016912,           0.0045669,             0.80671,                   1,                0.97,             0.50168,            0.021204,           0.0050437,          0.00060921,           0.0069796,           0.0059796,           0.0059796
                  25,            0.058695,            0.018984,           0.0034937,             0.70047,             0.74729,             0.76132,             0.37731,            0.025212,           0.0046039,          0.00057678,            0.005875,            0.005875,            0.005875
                  26,             0.06637,            0.015895,           0.0031989,             0.84528,                   1,                0.97,             0.51578,            0.016785,           0.0051544,          0.00051422,            0.005875,            0.005875,            0.005875
                  27,             0.05871,            0.017992,           0.0032393,             0.85834,                   1,                0.97,             0.52677,            0.016173,           0.0049148,          0.00047646,             0.00571,             0.00571,             0.00571
                  28,            0.054867,            0.016328,           0.0026752,             0.59742,               0.875,              0.7575,             0.38476,            0.020824,           0.0048623,          0.00043182,            0.005545,            0.005545,            0.005545
                  29,            0.052884,             0.01404,           0.0024728,             0.75846,             0.97155,                0.97,             0.59447,            0.014006,           0.0047896,          0.00043297,             0.00538,             0.00538,             0.00538
                  30,              0.0545,            0.017518,           0.0027794,             0.78497,             0.97562,               0.995,             0.45362,            0.018775,           0.0046133,          0.00039253,            0.005215,            0.005215,            0.005215
                  31,            0.063228,            0.017275,           0.0027048,             0.68596,             0.95802,                0.97,             0.61209,            0.015988,           0.0044074,          0.00039635,             0.00505,             0.00505,             0.00505
                  32,             0.04898,            0.016001,           0.0023552,              0.4183,             0.91536,              0.6825,             0.38894,            0.020739,           0.0041288,          0.00041313,            0.004885,            0.004885,            0.004885
                  33,            0.057855,            0.017239,           0.0023161,             0.70374,             0.99175,             0.87833,             0.51345,            0.018698,           0.0038949,          0.00044365,             0.00472,             0.00472,             0.00472
                  34,            0.058015,            0.017614,           0.0034573,             0.67708,             0.90583,             0.87893,             0.54306,            0.015055,           0.0039511,          0.00047417,            0.004555,            0.004555,            0.004555
                  35,            0.045094,            0.015339,           0.0021747,              0.5216,                   1,             0.73667,             0.45737,            0.018712,            0.003863,           0.0005455,             0.00439,             0.00439,             0.00439
                  36,            0.043857,            0.014297,           0.0021903,             0.74559,               0.875,             0.92208,             0.60585,            0.013036,           0.0041231,          0.00059242,            0.004225,            0.004225,            0.004225
